Item,Enchantment,Description,Gems,Source
Helmet,Enchantment Pyroclast Mine Additional Projectiles 1,Pyroclast Mine fires an additional Projectile,Pyroclast Mine,Eternal Labyrinth
Helmet,Enchantment Storm Burst Additional Object Chance 2,Storm Burst has a 15% chance to create an additional Orb,Storm Burst,Eternal Labyrinth
Helmet,Enchantment Tornado Shot Num Of Secondary Projectiles 2,Tornado Shot fires an additional secondary Projectile,Tornado Shot,Eternal Labyrinth
Helmet,Enchantment Volatile Dead Orbs 3,Volatile Dead Consumes up to 1 additional corpse,Volatile Dead,Eternal Labyrinth
Helmet,Enchantment Reap Maximum Blood Charges 1,+1 to Maximum Blood Charges,Reap,Eternal Labyrinth
Helmet,Enchantment Bladestorm Maximum Number Of Storms Allowed 1,+1 to maximum number of Bladestorms,Bladestorm,Eternal Labyrinth
Helmet,Enchantment Flame Wall Count 1,+1 to maximum number of Flame Walls,Flame Wall,Eternal Labyrinth
Helmet,Enchantment Herald Of Purity Additional Minion 1,+1 to maximum number of Sentinels of Purity,Herald of Purity,Eternal Labyrinth
Helmet,Enchantment Ancestral Protector Resistances 1,+24% to Ancestral Protector Totem Elemental Resistances,Ancestral Protector,Merciless Labyrinth
Helmet,Enchantment Animate Guardian Elemental Resistances 1,+24% to Animated Guardian Elemental Resistances,Animate Guardian,Merciless Labyrinth
Helmet,Enchantment Chaos Golem Elemental Resistances 1,+24% to Chaos Golem Elemental Resistances,Summon Chaos Golem,Merciless Labyrinth
Helmet,Enchantment Ice Golem Elemental Resistances 1,+24% to Ice Golem Elemental Resistances,Summon Ice Golem,Merciless Labyrinth
Helmet,Enchantment Flame Golem Elemental Resistances 1,+24% to increased Flame Golem Elemental Resistances,Summon Flame Golem,Merciless Labyrinth
Helmet,Enchantment Lightning Golem Elemental Resistances 1,+24% to Lightning Golem Elemental Resistances,Summon Lightning Golem,Merciless Labyrinth
Helmet,Enchantment Spectre Elemental Resistances 1,+24% to Raised Spectre Elemental Resistances,Raise Spectre,Merciless Labyrinth
Helmet,Enchantment Stone Golem Elemental Resistances 1,+24% to Stone Golem Elemental Resistances,Summon Stone Golem,Merciless Labyrinth
Belt,Enchantment Fortify,+300 to Armour while you have Fortify,,Eternal Labyrinth of Potential
Belt,Enchantment Phasing,+300 to Evasion Rating while you have Phasing,,Eternal Labyrinth of Potential
Helmet,Enchantment Ancestral Protector Resistances 2,+36% to Ancestral Protector Totem Elemental Resistances,Ancestral Protector,Eternal Labyrinth
Helmet,Enchantment Animate Guardian Elemental Resistances 2,+36% to Animated Guardian Elemental Resistances,Animate Guardian,Eternal Labyrinth
Helmet,Enchantment Chaos Golem Elemental Resistances 2,+36% to Chaos Golem Elemental Resistances,Summon Chaos Golem,Eternal Labyrinth
Helmet,Enchantment Ice Golem Elemental Resistances 2,+36% to Ice Golem Elemental Resistances,Summon Ice Golem,Eternal Labyrinth
Helmet,Enchantment Flame Golem Elemental Resistances 2,+36% to increased Flame Golem Elemental Resistances,Summon Flame Golem,Eternal Labyrinth
Helmet,Enchantment Lightning Golem Elemental Resistances 2,+36% to Lightning Golem Elemental Resistances,Summon Lightning Golem,Eternal Labyrinth
Helmet,Enchantment Spectre Elemental Resistances 2,+36% to Raised Spectre Elemental Resistances,Raise Spectre,Eternal Labyrinth
Helmet,Enchantment Stone Golem Elemental Resistances 2,+36% to Stone Golem Elemental Resistances,Summon Stone Golem,Eternal Labyrinth
Boots,Enchantment Leech 1,0.4% of Damage Leeched as Life if you've Killed Recently,,Cruel Labyrinth
Boots,Enchantment Leech 2,0.5% of Damage Leeched as Life if you've Killed Recently,,Merciless Labyrinth
Boots,Enchantment Leech 3,0.6% of Damage Leeched as Life if you've Killed Recently,,Eternal Labyrinth
Boots,Enchantment Attack Dodge 3,10% Chance to Dodge Attack Hits if you've taken a Critical Strike Recently,,Eternal Labyrinth
Boots,Enchantment Status Ailments 3,"10% chance to Freeze, Shock and Ignite if you haven't Crit Recently",,Eternal Labyrinth
Helmet,Enchantment Ice Spear Percent Chance To Gain Power Charge On Critical Strike 1,10% Chance to gain a Power Charge on Critical Strike with Ice Spear,Ice Spear,Merciless Labyrinth
Helmet,Enchantment Barrage Attack Speed 1,10% increased Barrage Attack Speed,Barrage,Merciless Labyrinth
Helmet,Enchantment Battlemage's Cry Buff Effect 1,10% increased Battlemage's Cry Buff Effect,Battlemage's Cry,Merciless Labyrinth
Helmet,Enchantment Cleave Attack Speed 1,10% increased Cleave Attack Speed,Cleave,Merciless Labyrinth
Helmet,Enchantment Cyclone Attack Speed 1,10% increased Cyclone Attack Speed,Cyclone,Merciless Labyrinth
Helmet,Enchantment Double Strike Attack Speed 1,10% increased Double Strike Attack Speed,Double Strike,Merciless Labyrinth
Helmet,Enchantment Dual Strike Attack Speed 1,10% increased Dual Strike Attack Speed,Dual Strike,Merciless Labyrinth
Helmet,Enchantment Bane Linked Curse Effect 1,10% increased Effect of Curses applied by Bane,Bane,Merciless Labyrinth
Helmet,Enchantment Elemental Hit Attack Speed 1,10% increased Elemental Hit Attack Speed,Elemental Hit,Merciless Labyrinth
Helmet,Enchantment Frost Bolt Cast Speed 1,10% increased Frostbolt Cast Speed,Frostbolt,Merciless Labyrinth
Helmet,Enchantment Heavy Strike Attack Speed 1,10% increased Heavy Strike Attack Speed,Heavy Strike,Merciless Labyrinth
Helmet,Enchantment Incinerate Damage Per Stage 3,10% increased Incinerate Damage for each stage,Incinerate,Eternal Labyrinth
Helmet,Enchantment Leap Slam Attack Speed 1,10% increased Leap Slam Attack Speed,Leap Slam,Merciless Labyrinth
Boots,Enchantment Movement Speed 3,10% increased Movement Speed if you haven't been Hit Recently,,Eternal Labyrinth
