Name,Source,Description,Gem
Armageddon Brand Attached Target Fire Penetration 1,Merciless Labyrinth,Armageddon Brand Damage Penetrates 8% of Branded Enemy's Fire Resistance,Armageddon Brand
Armageddon Brand Attached Target Fire Penetration 2,Eternal Labyrinth,Armageddon Brand Damage Penetrates 12% of Branded Enemy's Fire Resistance,Armageddon Brand
Armageddon Brand Repeat Frequency 1,Merciless Labyrinth,Armageddon Brand has 8% increased Activation Frequency,Armageddon Brand
Armageddon Brand Repeat Frequency 2,Eternal Labyrinth,Armageddon Brand has 12% increased Activation Frequency,Armageddon Brand
Enchantment Abyssal Cry Damage 1,Merciless Labyrinth,25% increased Abyssal Cry Damage,Abyssal Cry
Enchantment Abyssal Cry Damage 2,Eternal Labyrinth,40% increased Abyssal Cry Damage,Abyssal Cry
Enchantment Abyssal Cry Duration 1,Merciless Labyrinth,24% increased Abyssal Cry Duration,Abyssal Cry
Enchantment Abyssal Cry Duration 2,Eternal Labyrinth,36% increased Abyssal Cry Duration,Abyssal Cry
Enchantment Ancestral Protector Attack Speed 1,Merciless Labyrinth,Ancestral Protector Totem grants 12% increased Attack Speed while Active,Ancestral Protector
Enchantment Ancestral Protector Attack Speed 2,Eternal Labyrinth,Ancestral Protector Totem grants 18% increased Attack Speed while Active,Ancestral Protector
Enchantment Ancestral Protector Damage 1,Merciless Labyrinth,Ancestral Protector Totem deals 25% increased Damage,Ancestral Protector
Enchantment Ancestral Protector Damage 2,Eternal Labyrinth,Ancestral Protector Totem deals 40% increased Damage,Ancestral Protector
Enchantment Ancestral Protector Resistances 1,Merciless Labyrinth,+24% to Ancestral Protector Totem Elemental Resistances,Ancestral Protector
Enchantment Ancestral Protector Resistances 2,Eternal Labyrinth,+36% to Ancestral Protector Totem Elemental Resistances,Ancestral Protector
Enchantment Ancestral Protector Placement Speed 1,Merciless Labyrinth,12% increased Ancestral Protector Totem Placement Speed,Ancestral Protector
Enchantment Ancestral Protector Placement Speed 2,Eternal Labyrinth,18% increased Ancestral Protector Totem Placement Speed,Ancestral Protector
Enchantment Ancestral Warchief Damage 1,Merciless Labyrinth,25% increased Ancestral Warchief Totem Damage,Ancestral Warchief
Enchantment Ancestral Warchief Damage 2,Eternal Labyrinth,40% increased Ancestral Warchief Totem Damage,Ancestral Warchief
Enchantment Ancestor Warchief Melee Damage 1,Merciless Labyrinth,Ancestral Warchief Totem grants 20% increased Melee Damage while Active,Ancestral Warchief
Enchantment Ancestor Warchief Melee Damage 2,Eternal Labyrinth,Ancestral Warchief Totem grants 30% increased Melee Damage while Active,Ancestral Warchief
Enchantment Ancestor Warchief Area Of Effect 1,Merciless Labyrinth,8% increased Ancestral Warchief Totem Area of Effect,Ancestral Warchief
Enchantment Ancestor Warchief Area Of Effect 2,Eternal Labyrinth,12% increased Ancestral Warchief Totem Area of Effect,Ancestral Warchief
Enchantment Anger Reservation 1,Merciless Labyrinth,Anger has 10% reduced Mana Reservation,Anger
Enchantment Anger Reservation 2,Eternal Labyrinth,Anger has 15% reduced Mana Reservation,Anger
Enchantment Animate Guardian Damage 1,Merciless Labyrinth,Animated Guardians deal 25% increased Damage,Animate Guardian
Enchantment Animate Guardian Damage 2,Eternal Labyrinth,Animated Guardians deal 40% increased Damage,Animate Guardian
Enchantment Animate Guardian Elemental Resistances 1,Merciless Labyrinth,+24% to Animated Guardian Elemental Resistances,Animate Guardian
Enchantment Animate Guardian Elemental Resistances 2,Eternal Labyrinth,+36% to Animated Guardian Elemental Resistances,Animate Guardian
Enchantment Animate Weapon Chance To Create Additional Copy 1,Merciless Labyrinth,16% chance to create an additional Animate Weapon copy,Animate Weapon
Enchantment Animate Weapon Chance To Create Additional Copy 2,Eternal Labyrinth,24% chance to create an additional Animate Weapon copy,Animate Weapon
Enchantment Animate Weapon Damage 1,Merciless Labyrinth,Animated Weapons deal 25% increased Damage,Animate Weapon
Enchantment Animate Weapon Damage 2,Eternal Labyrinth,Animated Weapons deal 40% increased Damage,Animate Weapon
Enchantment Animate Weapon Duration 1,Merciless Labyrinth,20% increased Animate Weapon Duration,Animate Weapon
Enchantment Animate Weapon Duration 2,Eternal Labyrinth,30% increased Animate Weapon Duration,Animate Weapon
Enchantment Arc Damage 1,Merciless Labyrinth,25% increased Arc Damage,Arc
Enchantment Arc Damage 2,Eternal Labyrinth,40% increased Arc Damage,Arc
Enchantment Arc Damage Per Chain 1,Merciless Labyrinth,Arc deals 8% increased Damage for each time it has Chained,Arc
Enchantment Arc Damage Per Chain 2,Eternal Labyrinth,Arc deals 12% increased Damage for each time it has Chained,Arc
Enchantment Arc Num Of Additional Projectiles In Chain 1,Eternal Labyrinth,Arc Chains an additional time,Arc
Enchantment Arc Shock Chance 1,Merciless Labyrinth,Arc has +20% chance to Shock,Arc
Enchantment Arc Shock Chance 2,Eternal Labyrinth,Arc has +30% chance to Shock,Arc
Enchantment Arctic Armour Buff Effect 1,Merciless Labyrinth,24% increased Arctic Armour Buff Effect,Arctic Armour
Enchantment Arctic Armour Buff Effect 2,Eternal Labyrinth,36% increased Arctic Armour Buff Effect,Arctic Armour
Enchantment Arctic Armour Mana Reservation 1,Merciless Labyrinth,Arctic Armour has 20% reduced Mana Reservation,Arctic Armour
Enchantment Arctic Armour Mana Reservation 2,Eternal Labyrinth,Arctic Armour has 30% reduced Mana Reservation,Arctic Armour
Enchantment Arctic Breath Chilling Area Movement Velocity 1,Eternal Labyrinth,Arctic Breath's Chilling Area has 38% increased Movement Speed,Arctic Breath
Enchantment Arctic Breath Damage 1,Merciless Labyrinth,25% increased Arctic Breath Damage,Arctic Breath
Enchantment Arctic Breath Damage 2,Eternal Labyrinth,40% increased Arctic Breath Damage,Arctic Breath
Enchantment Arctic Breath Duration 1,Merciless Labyrinth,24% increased Arctic Breath Duration,Arctic Breath
Enchantment Arctic Breath Duration 2,Eternal Labyrinth,36% increased Arctic Breath Duration,Arctic Breath
Enchantment Arctic Breath Area Of Effect 1,Merciless Labyrinth,8% increased Arctic Breath Area of Effect,Arctic Breath
Enchantment Arctic Breath Area Of Effect 2,Eternal Labyrinth,12% increased Arctic Breath Area of Effect,Arctic Breath
Enchantment Armageddon Brand Damage 1,Merciless Labyrinth,Armageddon Brand deals 25% increased Damage,Armageddon Brand
Enchantment Armageddon Brand Damage 2,Eternal Labyrinth,Armageddon Brand deals 40% increased Damage,Armageddon Brand
Enchantment Assassins Mark Curse Effect 1,Merciless Labyrinth,20% increased Assassin's Mark Curse Effect,Assassin's Mark
Enchantment Assassins Mark Curse Effect 2,Eternal Labyrinth,30% increased Assassin's Mark Curse Effect,Assassin's Mark
Enchantment Assassins Mark Duration 1,Merciless Labyrinth,30% increased Assassin's Mark Duration,Assassin's Mark
Enchantment Assassins Mark Duration 2,Eternal Labyrinth,45% increased Assassin's Mark Duration,Assassin's Mark
Enchantment Ball Lightning Additional Projectiles 1,Eternal Labyrinth,Ball Lightning fires an additional Projectile,Ball Lightning
Enchantment Ball Lightning Damage 1,Merciless Labyrinth,25% increased Ball Lightning Damage,Ball Lightning
Enchantment Ball Lightning Damage 2,Eternal Labyrinth,40% increased Ball Lightning Damage,Ball Lightning
Enchantment Ball Lightning Area Of Effect 1,Merciless Labyrinth,8% increased Ball Lightning Area of Effect,Ball Lightning
Enchantment Ball Lightning Area Of Effect 2,Eternal Labyrinth,12% increased Ball Lightning Area of Effect,Ball Lightning
Enchantment Bane Area Of Effect 1,Merciless Labyrinth,Bane has 10% increased Area of Effect,Bane
